<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;D;20230123;030000;68.9687
USDRUB;D;20230124;030000;69.4451
USDRUB;D;20230125;030000;69.205
USDRUB;D;20230126;030000;69.665
USDRUB;D;20230127;030000;69.7494
USDRUB;D;20230129;030000;68.732
USDRUB;D;20230130;030000;69.9098
USDRUB;D;20230131;030000;69.125
USDRUB;D;20230201;030000;69.14
USDRUB;D;20230202;030000;70.03
USDRUB;D;20230203;030000;70.6442
USDRUB;D;20230205;030000;70.575
USDRUB;D;20230206;030000;71.4956
USDRUB;D;20230207;030000;72.1489
USDRUB;D;20230208;030000;72.476
USDRUB;D;20230209;030000;73.0479
USDRUB;D;20230210;030000;73.086
USDRUB;D;20230213;030000;73.7919
USDRUB;D;20230214;030000;73.4262
USDRUB;D;20230215;030000;74.091
USDRUB;D;20230216;030000;74.68
USDRUB;D;20230217;030000;73.6381
USDRUB;D;20230219;030000;72.3
USDRUB;D;20230220;030000;75.4889
USDRUB;D;20230221;030000;74.9207
USDRUB;D;20230222;030000;75.4335
USDRUB;D;20230223;030000;75.7286
USDRUB;D;20230224;030000;76.0129
USDRUB;D;20230226;030000;75.98
USDRUB;D;20230227;030000;74.9097
USDRUB;D;20230228;030000;75.0439
USDRUB;D;20230301;030000;75.25
USDRUB;D;20230302;030000;74.525
USDRUB;D;20230303;030000;75.7041
USDRUB;D;20230305;030000;75.675
USDRUB;D;20230306;030000;75.3936
USDRUB;D;20230307;030000;75.5975
USDRUB;D;20230308;030000;76.0486
USDRUB;D;20230309;030000;75.8478
USDRUB;D;20230310;030000;76.175
USDRUB;D;20230312;030000;75.18
USDRUB;D;20230313;030000;75.5467
USDRUB;D;20230314;030000;75.7397
USDRUB;D;20230315;030000;76.0985
USDRUB;D;20230316;030000;76.499
USDRUB;D;20230317;030000;76.9438
USDRUB;D;20230319;030000;75.94
USDRUB;D;20230320;030000;77.4881
USDRUB;D;20230321;030000;77.2482
USDRUB;D;20230322;030000;76.9254
USDRUB;D;20230323;030000;75.9967
USDRUB;D;20230324;030000;77.2707
USDRUB;D;20230326;030000;76.26
